Request Number,Latency (ms)
1,61.899423599243164
2,65.86980819702148
3,60.77861785888672
4,66.70045852661133
5,60.00471115112305
6,61.36775016784668
7,66.3602352142334
8,61.09189987182617
9,67.69800186157227
10,60.13679504394531
11,61.30218505859375
12,59.531450271606445
13,64.57352638244629
14,64.53871726989746
15,59.96441841125488
16,61.0966682434082
17,60.29176712036133
18,68.40658187866211
19,65.94228744506836
20,61.20872497558594
21,60.190677642822266
22,61.66672706604004
23,59.53407287597656
24,60.27674674987793
25,67.14439392089844
26,60.70542335510254
27,67.09957122802734
28,60.58907508850098
29,61.301469802856445
30,60.141801834106445
31,61.638593673706055
32,60.19449234008789
33,61.91825866699219
34,59.119462966918945
35,60.80913543701172
36,62.48331069946289
37,60.26411056518555
38,66.38789176940918
39,63.22193145751953
40,58.5331916809082
41,59.694766998291016
42,64.03422355651855
43,65.18125534057617
44,66.62392616271973
45,60.57095527648926
46,62.23750114440918
47,59.162139892578125
48,60.25528907775879
49,61.02490425109863
50,59.14878845214844
51,59.43584442138672
52,62.89863586425781
53,60.35423278808594
54,61.06305122375488
55,59.58223342895508
56,60.55641174316406
57,59.68523025512695
58,61.93399429321289
59,60.08553504943848
60,59.71956253051758
61,60.99820137023926
62,59.71097946166992
63,62.27278709411621
64,59.04507637023926
65,60.90044975280762
66,61.110496520996094
67,59.961795806884766
68,61.91086769104004
69,60.90259552001953
70,60.16278266906738
71,60.16898155212402
72,59.80849266052246
73,62.43014335632324
74,59.23342704772949
75,60.19878387451172
76,61.56015396118164
77,60.14299392700195
78,60.13369560241699
79,68.44329833984375
80,59.44252014160156
81,1140.282392501831
82,62.91913986206055
83,65.8268928527832
84,80.9633731842041
85,58.60781669616699
86,61.29789352416992
87,74.05638694763184
88,60.19997596740723
89,61.64836883544922
90,65.22560119628906
91,69.47207450866699
92,78.19819450378418
93,60.98008155822754
94,61.45334243774414
95,60.6231689453125
96,61.65289878845215
97,73.17781448364258
98,66.22600555419922
99,63.401222229003906
100,66.91956520080566
