Request Number,Latency (ms)
1,63.812971115112305
2,62.547922134399414
3,59.95345115661621
4,63.53163719177246
5,71.88844680786133
6,71.51365280151367
7,69.68331336975098
8,70.64557075500488
9,60.975074768066406
10,71.50864601135254
11,69.59414482116699
12,61.342716217041016
13,60.103654861450195
14,60.552358627319336
15,60.3640079498291
16,69.19622421264648
17,61.40327453613281
18,64.29290771484375
19,61.34200096130371
20,66.90025329589844
21,72.8464126586914
22,75.07443428039551
23,113.90495300292969
24,70.29223442077637
25,79.79798316955566
26,59.938907623291016
27,67.01135635375977
28,87.90469169616699
29,71.17772102355957
30,65.51218032836914
31,74.83625411987305
32,87.27359771728516
33,65.83213806152344
34,59.15069580078125
35,69.68832015991211
36,66.46585464477539
37,66.08414649963379
38,84.1374397277832
39,91.92061424255371
40,68.80402565002441
41,71.74301147460938
42,75.00052452087402
43,67.56925582885742
44,60.26482582092285
45,60.75692176818848
46,59.90767478942871
47,61.226844787597656
48,60.1041316986084
49,60.93573570251465
50,60.35256385803223
51,60.454368591308594
52,61.54012680053711
53,59.374094009399414
54,61.06829643249512
55,62.705039978027344
56,56.89501762390137
57,61.05804443359375
58,60.07242202758789
59,68.09782981872559
60,59.82065200805664
61,60.990095138549805
62,60.06169319152832
63,60.93597412109375
64,61.0504150390625
65,60.52684783935547
66,61.07783317565918
67,96.62818908691406
68,64.78214263916016
69,61.739206314086914
70,58.953285217285156
71,83.24337005615234
72,65.05370140075684
73,61.185598373413086
74,61.14339828491211
75,60.29653549194336
76,59.88264083862305
77,60.74047088623047
78,60.28914451599121
79,63.71951103210449
80,67.19756126403809
81,70.85609436035156
82,1099.158763885498
83,63.22669982910156
84,68.87602806091309
85,63.3847713470459
86,60.125112533569336
87,62.326908111572266
88,58.95376205444336
89,60.022830963134766
90,61.53392791748047
91,59.99112129211426
92,61.64979934692383
93,63.02618980407715
94,62.50333786010742
95,60.73617935180664
96,62.22105026245117
97,60.6992244720459
98,66.33138656616211
99,59.824466705322266
100,60.9130859375
