Request Number,Latency (ms)
1,67.55733489990234
2,70.71661949157715
3,62.80207633972168
4,61.03801727294922
5,59.99898910522461
6,67.91925430297852
7,61.524152755737305
8,68.85504722595215
9,64.55707550048828
10,60.1656436920166
11,71.88820838928223
12,64.88966941833496
13,59.996843338012695
14,57.842254638671875
15,64.18442726135254
16,73.44889640808105
17,64.4533634185791
18,62.76702880859375
19,60.74976921081543
20,60.24312973022461
21,65.9029483795166
22,67.75736808776855
23,68.21060180664062
24,59.81898307800293
25,60.10556221008301
26,59.952497482299805
27,68.0840015411377
28,73.5008716583252
29,62.253713607788086
30,59.77773666381836
31,64.79787826538086
32,65.45090675354004
33,63.99273872375488
34,61.6910457611084
35,60.13607978820801
36,67.08025932312012
37,60.6539249420166
38,67.76833534240723
39,61.50531768798828
40,61.41924858093262
41,59.83090400695801
42,60.23406982421875
43,67.4443244934082
44,66.84637069702148
45,60.06288528442383
46,60.20474433898926
47,73.80461692810059
48,63.530921936035156
49,64.28694725036621
50,64.6049976348877
51,64.93878364562988
52,59.64541435241699
53,60.78004837036133
54,62.20602989196777
55,59.7531795501709
56,60.413360595703125
57,64.44334983825684
58,64.23306465148926
59,66.64371490478516
60,59.857845306396484
61,68.74370574951172
62,61.345577239990234
63,59.93962287902832
64,61.07521057128906
65,71.22397422790527
66,65.75179100036621
67,69.17810440063477
68,62.86954879760742
69,64.82839584350586
70,67.73948669433594
71,60.662031173706055
72,61.81645393371582
73,66.30444526672363
74,59.83448028564453
75,62.34908103942871
76,71.77567481994629
77,62.11352348327637
78,60.99200248718262
79,59.04531478881836
80,61.867713928222656
81,64.37802314758301
82,1133.683681488037
83,63.25483322143555
84,65.69051742553711
85,59.53168869018555
86,69.38648223876953
87,58.974504470825195
88,60.29176712036133
89,63.406944274902344
90,66.30158424377441
91,68.68743896484375
92,66.9856071472168
93,73.28557968139648
94,59.947967529296875
95,68.16220283508301
96,64.32199478149414
97,63.66610527038574
98,64.61644172668457
99,64.21089172363281
100,61.531782150268555
